title,author,rating,image,url,genre,week
참교육,채용택 / 한가람,9.87,https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg,https://comic.naver.com/webtoon/list?titleId=758037,#액션#블루스트링#사이다#학원물#다크히어로#먼치킨,월
뷰티풀 군바리,설이 / 윤성원,9.81,https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg,https://comic.naver.com/webtoon/list?titleId=648419,#드라마#직업드라마#밀리터리,월
신의 탑,SIU,9.88,https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg,https://comic.naver.com/webtoon/list?titleId=183559,#판타지#세계관#이능력배틀물#소년왕도물#먼치킨,월
똑 닮은 딸,이담,9.98,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_46cf2e65-7b7c-4fb7-8f54-0078456d8ff0.jpg,https://comic.naver.com/webtoon/list?titleId=774866,#스릴러#2020 지상최대공모전#서스펜스,월
백수세끼,치즈,9.85,https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg,https://comic.naver.com/webtoon/list?titleId=733074,#드라마#음식&요리#감성드라마,월
퀘스트지상주의,박태준 만화회사,9.75,https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_800f4c56-26ac-419e-9ed0-baf322311dea.jpg,https://comic.naver.com/webtoon/list?titleId=783052,#드라마#게임판타지#학원물,월
장씨세가 호위무사,김인호 / 조형근,9.93,https://image-comic.pstatic.net/webtoon/728750/thumbnail/thumbnail_IMAG21_47c21251-b213-4882-bacc-15adce1acfc8.jpg,https://comic.naver.com/webtoon/list?titleId=728750,#무협/사극#사이다#힘숨찐#판무#먼치킨#소설원작,월
윈드브레이커,조용석,9.83,https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,https://comic.naver.com/webtoon/list?titleId=602910,#스포츠#스포츠성장,월
소녀의 세계,모랑지,9.92,https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,https://comic.naver.com/webtoon/list?titleId=654774,#드라마#하이틴#학원로맨스#직진남#삼각관계#까칠남#감성드라마,월
버림받은 왕녀의 은밀한 침실,혜니 / 성혜림,9.96,https://image-comic.pstatic.net/webtoon/796867/thumbnail/thumbnail_IMAG21_77aa5064-b42b-4838-912e-2c6266c53a74.jpg,https://comic.naver.com/webtoon/list?titleId=796867,청소년이용불가,기타
신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.90,https://image-comic.pstatic.net/webtoon/795297/thumbnail/thumbnail_IMAG21_4134925888999731505.jpg,https://comic.naver.com/webtoon/list?titleId=795297,#판타지#아포칼립스#사이다#게임판타지#회귀#헌터물#소년왕도물#먼치킨#구원서사#소설원작,월
우아한 욕망,김종건,9.91,https://image-comic.pstatic.net/webtoon/813552/thumbnail/thumbnail_IMAG21_c81f8080-3781-4789-9411-a171d501b01a.jpg,https://comic.naver.com/webtoon/list?titleId=813552,청소년이용불가,기타
별난식당,HO9,9.96,https://image-comic.pstatic.net/webtoon/806189/thumbnail/thumbnail_IMAG21_292de414-bd9a-418d-a4e9-d97060398223.jpg,https://comic.naver.com/webtoon/list?titleId=806189,#드라마#지금추천작#힐링#직업드라마#음식&요리#성장드라마,월
절대검감,김두루미 / 티아이 / 한중월야,9.95,https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg,https://comic.naver.com/webtoon/list?titleId=796075,#무협/사극#환골탈태#소설원작,월
앵무살수,김성진,9.97,https://image-comic.pstatic.net/webtoon/739115/thumbnail/thumbnail_IMAG21_7077747896626722102.jpg,https://comic.naver.com/webtoon/list?titleId=739115,#판타지#판무,월
퍼니게임,배진수,9.60,https://image-comic.pstatic.net/webtoon/801035/thumbnail/thumbnail_IMAG21_01fd148f-edb2-4ada-9571-910981ec3376.jpg,https://comic.naver.com/webtoon/list?titleId=801035,#스릴러,월
ㅋㅋ단편.zip,네이버웹툰 작가,9.76,https://image-comic.pstatic.net/webtoon/814541/thumbnail/thumbnail_IMAG21_18a2bffa-6c6e-4884-ab41-45b4646cabe3.jpg,https://comic.naver.com/webtoon/list?titleId=814541,#개그,월목
만렙돌파,"성불예정, 임형 / 미노",9.53,https://image-comic.pstatic.net/webtoon/759940/thumbnail/thumbnail_IMAG21_3976787538998813497.jpg,https://comic.naver.com/webtoon/list?titleId=759940,#판타지#고인물#게임판타지#먼치킨,월
잔불의 기사,환댕,9.96,https://image-comic.pstatic.net/webtoon/768536/thumbnail/thumbnail_IMAG21_91c5c081-77e6-4516-a503-2f45aad57401.jpg,https://comic.naver.com/webtoon/list?titleId=768536,#판타지#세계관#판무#복수극,월
나 없는 단톡방,봉수,9.93,https://image-comic.pstatic.net/webtoon/805907/thumbnail/thumbnail_IMAG21_ab626e51-db74-46ff-8fdb-4a62edbc4fd1.jpg,https://comic.naver.com/webtoon/list?titleId=805907,#드라마#요즘핫한추천작#학원물,월
순정말고 순종,슈안,9.96,https://image-comic.pstatic.net/webtoon/761461/thumbnail/thumbnail_IMAG21_e3c857a7-900b-4085-969a-75d9127b5a38.jpg,https://comic.naver.com/webtoon/list?titleId=761461,#로맨스#로맨스코미디#연예계#삼각관계,월
물어보는 사이,성은,9.96,https://image-comic.pstatic.net/webtoon/772725/thumbnail/thumbnail_IMAG21_7769fa4b-5f29-4622-af74-613bda6a47ef.jpg,https://comic.naver.com/webtoon/list?titleId=772725,#로맨스#아이돌#계약연애#직진남#인외존재#연예계#삼각관계#뱀파이어,월
개같이 탈출,갬쟈,9.94,https://image-comic.pstatic.net/webtoon/814594/thumbnail/thumbnail_IMAG21_8746b12b-566e-4375-b0ab-1eaf48e17a1d.jpg,https://comic.naver.com/webtoon/list?titleId=814594,#드라마#성장물#2022 지상최대공모전#무해한#힐링#좀비#동물,월
리턴 투 플레이어,레포 / 세혼 / 인덱스,9.93,https://image-comic.pstatic.net/webtoon/752414/thumbnail/thumbnail_IMAG21_b66a0f20-01c1-4b3f-ab8e-1d5ca6f089fe.jpg,https://comic.naver.com/webtoon/list?titleId=752414,#판타지#아포칼립스#게임판타지#회귀#소년왕도물#먼치킨#소설원작,월
좀비묵시록 82-08,달아 / 경우 / 박스오피스,9.67,https://image-comic.pstatic.net/webtoon/814742/thumbnail/thumbnail_IMAG21_239b2422-91ff-4649-aa83-932f90582e11.jpg,https://comic.naver.com/webtoon/list?titleId=814742,#액션#소설원작,월
히어로메이커,빤쓰,9.95,https://image-comic.pstatic.net/webtoon/21815/thumbnail/thumbnail_IMAG21_7292511306663934265.jpg,https://comic.naver.com/webtoon/list?titleId=21815,#판타지#히어로,월
천재 타자가 강속구를 숨김,황지성 / 스튜디오MW / 이블라인,9.90,https://image-comic.pstatic.net/webtoon/807775/thumbnail/thumbnail_IMAG21_91cb8ff9-5be3-40ba-8df9-661972577cd2.jpg,https://comic.naver.com/webtoon/list?titleId=807775,#스포츠#야구#소설원작,월
신군,규남,9.95,https://image-comic.pstatic.net/webtoon/783050/thumbnail/thumbnail_IMAG21_ca9a662b-7a79-4e80-94c9-d62ebe597aad.jpg,https://comic.naver.com/webtoon/list?titleId=783050,#액션#소년왕도물,월
파견체,곽백수,9.92,https://image-comic.pstatic.net/webtoon/791256/thumbnail/thumbnail_IMAG21_3833187132113172581.jpg,https://comic.naver.com/webtoon/list?titleId=791256,#판타지#sf#인외존재,월
루루라라 우리네 인생,현이씨,9.96,https://image-comic.pstatic.net/webtoon/802039/thumbnail/thumbnail_IMAG21_a7a82a34-586c-4acf-b6f2-ab052be786f1.jpg,https://comic.naver.com/webtoon/list?titleId=802039,#일상#무해한,월목
칼가는 소녀,오리,9.97,https://image-comic.pstatic.net/webtoon/730174/thumbnail/thumbnail_IMAG21_301ca9ab-3938-4028-832c-48febddd6cf7.jpg,https://comic.naver.com/webtoon/list?titleId=730174,#드라마#최강자전#2018 최강자전#성장드라마#걸크러시#감성드라마,월
시한부의 아이까지 뺏으려 합니다,랍스타 / 이루이,9.90,https://image-comic.pstatic.net/webtoon/814362/thumbnail/thumbnail_IMAG21_16247d91-5c88-43aa-80e3-f28b2daf868d.jpg,https://comic.naver.com/webtoon/list?titleId=814362,#로맨스#소설원작,월
결혼생활 그림일기,은꼼지,9.97,https://image-comic.pstatic.net/webtoon/741891/thumbnail/thumbnail_IMAG21_47b971e4-00b6-451b-862e-1060bae5a80d.jpg,https://comic.naver.com/webtoon/list?titleId=741891,#일상,월
더블클릭,"박수봉, 김장훈 / 박수봉",9.92,https://image-comic.pstatic.net/webtoon/769663/thumbnail/thumbnail_IMAG21_935bf47d-9219-4f45-8a58-d5a7af13ce51.jpg,https://comic.naver.com/webtoon/list?titleId=769663,#액션#게임판타지#스포츠성장,월
아슈타르테,SOON / 안다온,9.87,https://image-comic.pstatic.net/webtoon/798277/thumbnail/thumbnail_IMAG21_f3e49f1a-befe-435f-bf83-845d8516a82b.jpg,https://comic.naver.com/webtoon/list?titleId=798277,#로맨스#로판#소설원작,월
제국 제일의 상속녀가 되었습니다,한강 / 요정용,9.69,https://image-comic.pstatic.net/webtoon/814566/thumbnail/thumbnail_IMAG21_4f97cbfb-8e3e-445d-848c-ae270c22f5b0.jpg,https://comic.naver.com/webtoon/list?titleId=814566,#로맨스#햇살캐#러블리#다정남#차원이동#역하렘#빙의#로판#소설원작,기타
악녀교실,즛호,9.85,https://image-comic.pstatic.net/webtoon/814116/thumbnail/thumbnail_IMAG21_81d8f011-e821-42a0-9556-1f0f9690b178.jpg,https://comic.naver.com/webtoon/list?titleId=814116,#드라마#사이다#학원물#복수극,월
인섹터,마카빔,9.94,https://image-comic.pstatic.net/webtoon/801710/thumbnail/thumbnail_IMAG21_b65d115a-9224-4d45-9773-18addbc432d3.jpg,https://comic.naver.com/webtoon/list?titleId=801710,#판타지#힘숨찐#이능력배틀물#다크히어로,월
오빠집이 비어서,이서희 / 태소영,9.87,https://image-comic.pstatic.net/webtoon/780414/thumbnail/thumbnail_IMAG21_fc2621b0-84c3-404d-a18d-5925dba6ab77.jpg,https://comic.naver.com/webtoon/list?titleId=780414,#로맨스#계약연애#연예계#소설원작,월
서브 남주가 파업하면 생기는 일,쓰레빠인간 / 해그늘 / 숙임,9.97,https://image-comic.pstatic.net/webtoon/803518/thumbnail/thumbnail_IMAG21_32d146f5-7e22-4fe4-bc73-92b2e446d7f7.jpg,https://comic.naver.com/webtoon/list?titleId=803518,#판타지#로판#소설원작,월
꿈의 기업,문지현,9.97,https://image-comic.pstatic.net/webtoon/687915/thumbnail/thumbnail_IMAG21_d46ad6b8-e9a8-4bc8-b501-e62adfee0eb6.jpg,https://comic.naver.com/webtoon/list?titleId=687915,#스릴러#아포칼립스#sf,월
쥴리에타의 드레스 업,말차 / 유자차 / 채하빈,9.55,https://image-comic.pstatic.net/webtoon/808711/thumbnail/thumbnail_IMAG21_d0fb6e8e-bae0-4561-b537-bd84a6b3cb09.jpg,https://comic.naver.com/webtoon/list?titleId=808711,#로맨스#소설원작,월
미친 재능의 플레이어,S-Nanyc / H.로마 / 체나,8.97,https://image-comic.pstatic.net/webtoon/814781/thumbnail/thumbnail_IMAG21_c88e92fa-e109-47d6-8a59-912749ff3a40.jpg,https://comic.naver.com/webtoon/list?titleId=814781,#판타지#요즘핫한추천작#레드아이스 스튜디오#사이다#히어로#헌터물#소설원작,월
컨트롤X,사이렌 / 서클,9.53,https://image-comic.pstatic.net/webtoon/812403/thumbnail/thumbnail_IMAG21_bc35a097-4b19-43bf-849e-26f8712bd65f.jpg,https://comic.naver.com/webtoon/list?titleId=812403,#로맨스#2022 지상최대공모전#전남친#연예계#걸크러시,월
엘프,홍작가,9.95,https://image-comic.pstatic.net/webtoon/808776/thumbnail/thumbnail_IMAG21_fb25d2f3-790c-48db-beaf-c2504f4ed4c0.jpg,https://comic.naver.com/webtoon/list?titleId=808776,#판타지#세계관,월
사이다걸,김드루 / 김그루,9.83,https://image-comic.pstatic.net/webtoon/800333/thumbnail/thumbnail_IMAG21_407ea651-d14f-47af-9e06-8813e7160421.jpeg,https://comic.naver.com/webtoon/list?titleId=800333,#드라마,월
헬크래프트,나락 / 영기,9.88,https://image-comic.pstatic.net/webtoon/800034/thumbnail/thumbnail_IMAG21_a340a6df-b77c-436a-a729-70927915634d.jpg,https://comic.naver.com/webtoon/list?titleId=800034,#판타지#서스펜스#두뇌싸움,월
피폐물의 해피엔딩을 위하여,호,9.94,https://image-comic.pstatic.net/webtoon/805437/thumbnail/thumbnail_IMAG21_e830e751-20be-4c57-a6ff-f299588d05b6.jpg,https://comic.naver.com/webtoon/list?titleId=805437,#로맨스#빙의#로판#구원서사,월
입술이 예쁜 남자,고도 / 플라비,9.96,https://image-comic.pstatic.net/webtoon/791629/thumbnail/thumbnail_IMAG21_4122541015824753209.jpg,https://comic.naver.com/webtoon/list?titleId=791629,#로맨스#소설원작,월
마이너스의 손,김뎐,9.96,https://image-comic.pstatic.net/webtoon/679568/thumbnail/thumbnail_IMAG21_0e7abd73-060d-42eb-afed-65cafc457104.jpg,https://comic.naver.com/webtoon/list?titleId=679568,#판타지#최강자전#2015 최강자전,월
라서드,감람,9.97,https://image-comic.pstatic.net/webtoon/756140/thumbnail/thumbnail_IMAG21_7c527b6e-773f-40c8-aa1a-5cbd9e7dc482.jpg,https://comic.naver.com/webtoon/list?titleId=756140,#판타지,월
하루의 하루,김이랑,9.92,https://image-comic.pstatic.net/webtoon/774302/thumbnail/thumbnail_IMAG21_4121973654889457249.jpg,https://comic.naver.com/webtoon/list?titleId=774302,#드라마,월
랭커,신건 / taibogi,9.88,https://image-comic.pstatic.net/webtoon/801827/thumbnail/thumbnail_IMAG21_46875d4a-190f-4663-bac5-0d3003263646.jpg,https://comic.naver.com/webtoon/list?titleId=801827,#액션#성장물#서바이벌#격투기#소년왕도물,월
퇴근 후에 만나요,박한나 / 햄친 / 로즈빈,9.94,https://image-comic.pstatic.net/webtoon/801517/thumbnail/thumbnail_IMAG21_0a77b0a7-0677-4228-b88b-84619093999f.jpg,https://comic.naver.com/webtoon/list?titleId=801517,#로맨스#2030연애#로맨스코미디#전남친#오피스로맨스#사내연애#소설원작,월
어느날 짝남에게 공작님이 빙의했다,다담 / 죽순,9.54,https://image-comic.pstatic.net/webtoon/816528/thumbnail/thumbnail_IMAG21_12b8af45-dcdb-4a37-8ccf-b597e490e55c.jpg,https://comic.naver.com/webtoon/list?titleId=816528,#로맨스#최강자전,월
악당과 악당이 만나면,삵 / 쏘가리 / 임하얌,9.95,https://image-comic.pstatic.net/webtoon/804782/thumbnail/thumbnail_IMAG21_f09967ec-e4e8-4fb8-a8d5-a65db4c6e14e.jpg,https://comic.naver.com/webtoon/list?titleId=804782,#로맨스#계략여주#직진남#로판#걸크러시#소설원작,월
